"id","subject","detail","target_date","has_blocker","blocker_description","progress","created_on","modified_on","company_id"
"63c500dc-de2d-47f5-8972-cf11e42d105d","Request internal approvals","Prepare materials and set up the working session agenda.",2026-03-01,"True","Budget approval needed",84,"2025-12-13 02:29:39","2025-12-16 18:29:39","401938a8-2367-4e08-bc1f-0b22cb98041b"
"d37bacee-1f69-40dd-b117-b3088b58431c","Review financial model","Confirm requirements, risks, and assumptions with relevant teams.",2026-01-09,"True","Data required from partner",49,"2025-11-04 03:58:39","2025-11-15 13:58:39","b02ad3be-0fa8-4676-bc90-b2178a4ef603"
"b659d6bf-9b4d-4179-8a5f-995ad5e31cfd","Request internal approvals","Ensure all supporting documentation is complete and up to date.",2025-12-28,"False",,29,"2025-09-15 17:41:39","2025-10-02 07:41:39","8a61a99c-028e-43d8-9400-c16eac6aaf02"
"6aaac65b-7e5d-4a04-8f88-1eba0f89fbcd","Update project timeline","Ensure all supporting documentation is complete and up to date.",2025-12-21,"False",,43,"2025-10-25 18:56:39","2025-12-10 01:56:39","7385f9b7-986f-4744-b661-45184bff534f"
"d81287a0-e18a-4f51-95f5-451d7029e9ff","Draft action plan","Confirm requirements, risks, and assumptions with relevant teams.",2026-03-02,"False",,81,"2026-01-03 15:51:39","2026-02-08 21:51:39","fc9b694f-a331-4188-b1c8-66c55d28f4af"
"90223913-b8cb-4941-86d9-08423733a7bc","Arrange client follow-up","Prepare materials and set up the working session agenda.",2026-02-17,"False",,62,"2025-11-08 10:50:39","2025-12-08 23:50:39","1cfead0f-5d9c-46e5-999d-b47004d5627a"
"99c447de-f142-4e46-9a71-17a4e04f9e94","Confirm site options","Ensure all supporting documentation is complete and up to date.",2026-01-27,"True","Budget approval needed",40,"2025-10-09 11:15:39","2025-10-14 23:15:39","dfed235a-54f9-4b7f-ab9e-9a4abdfaac45"
"2d62f4db-6913-47cc-8276-4db523d283ee","Validate project assumptions","Prepare materials and set up the working session agenda.",2025-11-10,"False",,26,"2025-10-17 16:33:39","2025-11-12 13:33:39","094d02f0-b671-4745-bdc9-72c7eef973df"
"aa5d51c4-3648-4332-b816-823ce6aec59f","Schedule stakeholder workshop","Review progress and capture actions, owners, and deadlines.",2026-02-28,"True","Pending legal review",64,"2025-11-27 18:10:39","2025-12-11 19:10:39","9cc2a7a2-e5c1-4d38-a74e-1ab8b281bb56"
"f7d8d442-f065-4c02-b27b-8eff01bf24d1","Coordinate delivery partners","Review progress and capture actions, owners, and deadlines.",2026-04-14,"False",,69,"2026-01-04 20:46:39","2026-01-30 18:46:39","438ebb7a-47af-422b-9c74-3a1ccb805fe4"
"a672c96e-35ac-42c0-bb33-a350ad58907e","Assess incentives eligibility","Prepare materials and set up the working session agenda.",2026-02-01,"False",,15,"2025-12-19 01:36:39","2025-12-20 08:36:39","2263eda6-6ec4-4f65-a221-3dbd8f3edc29"
"aea120f7-e4dc-4df6-b20c-67ac51c275ba","Review financial model","Review progress and capture actions, owners, and deadlines.",2025-12-29,"True","External dependency delay",97,"2025-09-08 02:05:39","2025-10-08 09:05:39","32c043b0-f39d-4a43-9571-95dee9e4aa45"
