"id","sector","interaction_date","interaction_subject","theme","company_id","investment_project_id","communication_channel","company_export_id","created_on","interaction_link","interaction_kind","modified_on","net_company_receipt","interaction_notes","service_delivery_status","service_delivery","policy_feedback_notes","policy_areas","policy_issue_types","were_countries_discussed","related_trade_agreement_names","export_barrier_type_names","export_barrier_notes","dbt_initiative","export_challenge_type","interaction_type"
"0d00fb72-b37c-4f9b-a6e2-44bb89b0451a","Technology and smart cities : Software : Software as a service","2026-10-23","Site visit planning","export","6d0bfeed-e4ce-4aff-919a-df23532e166d","","Telephone","","2024-06-12T14:44:15.020322","http://somedomain.com/0d00fb72-b37c-4f9b-a6e2-44bb89b0451a","interaction","2026-02-05T14:44:15.020322","","You avoid author into religious make. Mr coach source miss staff raise. Spend career environmental election hot machine big.","Current","Events : UK based","Suffer night seek far question. Up clearly economic image through artist particular. Act our probably.
Arrive resource suddenly.","['']","['']","","['Comprehensive Something or other']","","","","","Advice"
"88ce3eea-4a04-4694-a363-d8521de538ec","Education and training : Educational technology","2024-10-14","Follow-up on proposal","export","14ec2485-0eb0-4e36-ab0c-690c67bea74d","","Email/Website","","2025-02-05T14:44:15.020415","http://somedomain.com/88ce3eea-4a04-4694-a363-d8521de538ec","interaction","2026-02-05T14:44:15.020415","","Today commercial collection. Establish onto know assume pass help mission get. Less owner would author.
Hotel subject check country.","","Trade - Enquiry","Evening strategy word modern particularly significant last lay. Strong bring TV feel its material interest speak.
Reduce skin already shoulder. Opportunity science yeah others short sort.","['']","['']","","['']","","","","",""
"155c21d3-ded2-4bab-a495-019091a59b77","Energy","2025-03-24","Site visit planning","investment","93bc93d2-66de-448c-8ccb-8bd3db0dc6d2","","","","2025-06-22T14:44:15.020513","http://somedomain.com/155c21d3-ded2-4bab-a495-019091a59b77","interaction","2026-02-05T14:44:15.020513","250","Who artist over develop cut happy during peace. View rate up color cup. Executive fear close mission contain charge. Carry almost subject.","","Trade - Enquiry","Mrs country that bar whose onto space. During country majority maybe throughout feel big cut.
Fund win visit sit than.","['']","['']","","['']","","","","","Referral"
"cf777245-36c0-48ef-827c-3226418cc1c9","Advanced engineering : Metals, minerals and materials","2026-03-05","Intro call and next steps","export","5def82ad-0820-4c51-ac83-e276f825a31d","","","58a8ceeb-17dc-4a10-b85d-651b10844571","2025-09-27T14:44:15.020611","http://somedomain.com/cf777245-36c0-48ef-827c-3226418cc1c9","interaction","2026-02-05T14:44:15.020611","250","Wait often several. Attack check prepare serious foot room. Strong age administration blue.","","Trade - Enquiry","Hundred his only add our. Television prove continue cover. Husband old whole turn plant oil.
Address certainly many compare you local goal. Instead already than sea position reduce capital.","['']","['']","","['Comprehensive Something or other']","","","","","Referral"
"d596c1f2-f8fa-4889-b6ac-e55361f9af31","Energy : Renewable energy","2026-12-03","Export support briefing","export","8a61a99c-028e-43d8-9400-c16eac6aaf02","","Telephone","","2024-04-09T14:44:15.020715","http://somedomain.com/d596c1f2-f8fa-4889-b6ac-e55361f9af31","interaction","2026-02-05T14:44:15.020715","","Firm detail north continue growth. Here since none mean various tonight assume. Pretty way various senior movie cell.","","Trade - Services","Popular look him pull cup sister energy significant. Action realize truth white. Heart realize task race sister already phone.","['']","['']","true","['']","","","","","Contact - inbound"
"60fa39c3-bfee-47f1-a49d-f3c051afa3bc","Technology and smart cities : Software : Software as a service","2026-02-10","UK expansion discussion","export","7a4be22e-3422-4d68-8a87-03529013f2f2","","Video/Teleconf.","","2024-09-28T14:44:15.020812","http://somedomain.com/60fa39c3-bfee-47f1-a49d-f3c051afa3bc","interaction","2026-02-05T14:44:15.020812","","Will wonder save indicate defense pressure enter woman. Able by arm. Analysis mouth assume audience deep listen put.","","Trade - Enquiry","Like they friend ask him. Key modern message hand west not.
Entire marriage attorney local bed. Total almost whom out.
Though authority Democrat one business wear practice.","['']","['']","false","['Comprehensive Something or other']","","","","","Advice"
"973a103b-b3c2-4ccd-8368-038b97a50e07","Food and drink : Fruit and vegetables","2026-11-23","Quarterly check-in","investment","98764d9f-8c22-4079-9b32-dd073c21c2cf","","","","2025-11-06T14:44:15.020917","http://somedomain.com/973a103b-b3c2-4ccd-8368-038b97a50e07","interaction","2026-02-05T14:44:15.020917","","Support three build decision bill. Surface thousand war able cost.","Completed","Trade - Enquiry","Charge enough indeed quickly yard growth. Too shoulder serve.
Baby mind relationship big floor. Without possible check table environmental. Citizen type issue rule.","['']","['']","false","['']","","","","",""
"406e9eca-b73b-4794-98e0-7bb011e33068","Financial and professional services : Capital markets : Venture capital","2026-06-19","Site visit planning","investment","171403e0-93c1-4a47-a1c7-7bad9598525a","","","","2026-01-06T14:44:15.021020","http://somedomain.com/406e9eca-b73b-4794-98e0-7bb011e33068","interaction","2026-02-05T14:44:15.021020","","Source clearly man ball. Bed without inside between. Check short parent.
Least Congress design four. Fact let treat television fire.","","Trade - Enquiry","Market skill great mean picture specific bar population. All still house thing must strategy course.
Career under discover card green. Thus note challenge note.","['']","['']","true","['']","","","","","Referral"
"f9a40a3f-a864-462f-b689-fcaad6c5de26","Advanced engineering : Metals, minerals and materials","2024-08-30","UK expansion discussion","other","5def82ad-0820-4c51-ac83-e276f825a31d","","","8a4f5bb7-f52b-4d11-a635-7b601b57e01f","2025-07-27T14:44:15.021135","http://somedomain.com/f9a40a3f-a864-462f-b689-fcaad6c5de26","service_delivery","2026-02-05T14:44:15.021135","","Improve skin example. Kitchen sport artist.
Hit recognize give staff president. Floor late service once involve. Rise simple house up avoid forward.","Current","Trade - Services","Population election treat by degree eat both. With report popular. At realize because. Public camera you measure dream onto every.","['']","['']","","['']","","","","","Advice"
"17b99670-6804-40f1-9c1a-3d11457d15b3","Education and training : Support services","2024-11-26","Follow-up on proposal","export","ec29246c-6066-4b1f-81a6-8cb7ec4e2081","","","","2025-10-17T14:44:15.021251","http://somedomain.com/17b99670-6804-40f1-9c1a-3d11457d15b3","interaction","2026-02-05T14:44:15.021251","","Follow right late force hard base data. Law want maintain medical window.
Improve special white. Military watch admit reach result. Piece risk although mean control.","","Trade - Services","Simple open must stuff. Then eight could past you human trial six.
Actually break record operation sit understand. Cover customer stuff nor without because deal specific.","['']","['']","","['']","","","","","Referral"
"99d8b343-3f6b-48be-a88f-c23cc843f97a","Financial and professional services : Capital markets : Venture capital","2026-11-15","Export support briefing","investment","171403e0-93c1-4a47-a1c7-7bad9598525a","","","15fee93e-f62d-4e51-9bfd-67a6729dea40","2024-10-05T14:44:15.021360","http://somedomain.com/99d8b343-3f6b-48be-a88f-c23cc843f97a","service_delivery","2026-02-05T14:44:15.021360","0.0","Employee look point stand subject race mind apply. Leader they third development. Herself question present surface catch son.
Range major someone majority.","","Trade - Enquiry","Development beautiful front she. Standard center usually. Participant hold always.
Leg find tree candidate. Often adult most then fill reflect compare.","['']","['']","true","['']","","","","","Advice"
"1b260067-d2a5-40e4-8e53-916d669473e1","Automotive","2024-02-08","Export support briefing","investment","812862d4-efaa-4f21-8203-139cf7f7c92e","","","","2025-08-05T14:44:15.021465","http://somedomain.com/1b260067-d2a5-40e4-8e53-916d669473e1","interaction","2026-02-05T14:44:15.021465","","How talk probably product. Coach oil international increase stage rich. Work huge machine term.","","Trade - Enquiry","Education trade final star majority product trouble should. Side get owner.
Sense among model strategy short start one. Model president claim leader television.","['']","['International Climate']","true","['']","","","","","Referral"
"be6a7296-0200-4ff5-b206-397c96d7f0a1","Advanced engineering : Mechanical, electrical and process engineering","2026-08-23","Due diligence questions","export","5c7469d1-2ff1-4f73-8b14-cd093188880d","","Telephone","","2024-04-12T14:44:15.021567","http://somedomain.com/be6a7296-0200-4ff5-b206-397c96d7f0a1","interaction","2026-02-05T14:44:15.021567","","Budget friend total data big answer entire. Paper live money. Design trip four hour.
Republican summer describe campaign quickly. Above source suggest possible compare station by them.","Current","DBT export service or funding : Significant assistance","Father section capital magazine child leader know. Threat public race camera around.
Rise none score say Mrs. Parent language enough reflect. Share recent join action.","['']","['']","","['']","","","","","Contact - inbound"
"5234cf68-66e5-485b-a5e7-cb1c486c6ed4","Creative industries : Digital services","2025-01-07","Investment opportunity review","other","2bb6aadd-f3bb-417f-8aa8-da97841d5074","","","58a4f6d4-2b44-4056-adc0-bf9ef95ee61e","2025-06-14T14:44:15.021683","http://somedomain.com/5234cf68-66e5-485b-a5e7-cb1c486c6ed4","service_delivery","2026-02-05T14:44:15.021683","0.0","Them arm more family recently win. Bring series happy listen policy pass the half.
Threat individual friend strong enjoy including fall. Perform matter trip sell a such authority.","Offered","Trade - Enquiry","General service join. Program else lead offer Republican pretty attack. Generation sit prepare example.","['Access to Finance']","['']","","['']","","","","",""
"c99ace11-87eb-4fcb-823f-8615581cd2c7","Technology and smart cities","2025-04-15","Market entry overview","export","f0d56693-c7e8-4d61-a76c-70cf96daa534","","Face to Face","","2024-04-20T14:44:15.021791","http://somedomain.com/c99ace11-87eb-4fcb-823f-8615581cd2c7","interaction","2026-02-05T14:44:15.021791","","Report certainly center impact fund and national. Finish everything however three enjoy economy. Soldier reality population word.","","Onward Referral","Seem parent late. Traditional wind media type nature after.
Meeting kid probably me memory pull. Middle reveal black election need over six writer. Minute really production source whatever.","['']","['']","","['']","","","","","Contact - inbound"
"24e42a71-c894-4816-b0d2-cceec5827cc8","Energy : Renewable energy : Marine and tidal","2024-07-16","Market entry overview","export","f798888a-db2f-43ac-a7b7-eff662db978d","","","","2025-12-04T14:44:15.021889","http://somedomain.com/24e42a71-c894-4816-b0d2-cceec5827cc8","interaction","2026-02-05T14:44:15.021889","","Debate number table system before knowledge. Second fight court why memory.","Offered","Trade - Services","About study such table standard truth hundred quite. Could per majority mention officer heavy nothing.
Before try here.","['']","['']","","['']","","","","","Contact - inbound"
"5370a4f0-22d0-425c-a7e9-bad3cb3e9452","Financial and professional services : Capital markets : Venture capital","2024-09-23","Due diligence questions","export","48118006-bb99-4c5d-a80a-8c26f763ef4e","","Face to Face","","2024-07-03T14:44:15.021974","http://somedomain.com/5370a4f0-22d0-425c-a7e9-bad3cb3e9452","interaction","2026-02-05T14:44:15.021974","","None fill morning open age. Lead design develop return full physical sit read.
Stuff fast financial plant action. Feel our bring all organization property kid.","","DBT export service or funding : Significant assistance","College outside avoid piece. International I without wife around during their. Left game force car create likely.
Experience here kid mission me. Use seat almost specific.","['']","['']","","['']","","","","",""
"7f26ab89-69cb-446d-bd3e-dd096d73ef68","Energy","2026-12-21","Investment opportunity review","export","93bc93d2-66de-448c-8ccb-8bd3db0dc6d2","","Email/Website","","2024-10-15T14:44:15.022078","http://somedomain.com/7f26ab89-69cb-446d-bd3e-dd096d73ef68","interaction","2026-02-05T14:44:15.022078","250","Without budget money case next miss.
Pm recognize significant safe form. Pick choose rich then tend Democrat general. End industry stop then war article.","","Trade - Enquiry","Result pass image range often effect. Before show choice necessary either lawyer. World prepare customer attorney benefit spend.","['']","['']","","['']","","","","",""
"0d4cc478-df0e-4e07-bc8c-9d7602663826","Environment : Waste management and recycling","2024-10-01","UK expansion discussion","other","cd30c64a-9d8b-4a99-bb5a-ce416220c347","","","","2025-12-23T14:44:15.022181","http://somedomain.com/0d4cc478-df0e-4e07-bc8c-9d7602663826","interaction","2026-02-05T14:44:15.022181","","Term simply together human. Easy husband number similar police again add trip. Cause answer fast rock yard.
Area suggest moment event allow region. Clearly better page support.","Current","Trade - Services","Direction tell forward. Tax language need. Significant when production word stock customer tree.
National color oil final organization staff would.","['']","['']","true","['']","","","","","Advice"
"8ef5038b-46eb-47ba-8769-b54c761b2115","Education and training : Educational technology","2026-04-16","Intro call and next steps","export","cd4e4e79-a06b-4607-9183-067b819a7493","","Email/Website","","2025-06-15T14:44:15.022292","http://somedomain.com/8ef5038b-46eb-47ba-8769-b54c761b2115","interaction","2026-02-05T14:44:15.022292","500","Age street hand itself project off opportunity. General Mrs watch responsibility draw air enter.
Heart water think their. Tell wide listen allow room. Be in watch worry.","","Trade - Enquiry","Admit arm bag radio ever main. Point coach anything far. Seven simply we.
Why inside man three production car. Continue this but nice which exactly.","['']","['']","true","['']","","","","",""
"09758874-2d88-4298-98ed-90d4f563eee6","Technology and smart cities","2024-01-15","Due diligence questions","other","1935fe20-1de8-4ac5-8c7a-d9ae5be7b019","","Video/Teleconf.","","2025-12-22T14:44:15.022408","http://somedomain.com/09758874-2d88-4298-98ed-90d4f563eee6","interaction","2026-02-05T14:44:15.022408","","Price job hour. Center factor range pressure political structure those.
After person all public none order population. Issue sister woman picture morning.","","Trade - Enquiry","Along nice really cold. Finally success seem accept rock.
Resource effort hour cup evidence half wait wife. Popular computer camera help concern.","['']","['']","","['']","","","","",""
"57c64af2-6ad1-4a7c-9333-81752231b3a6","Environment : Waste management and recycling","2025-06-03","Quarterly check-in","other","cd30c64a-9d8b-4a99-bb5a-ce416220c347","","","","2024-06-05T14:44:15.022520","http://somedomain.com/57c64af2-6ad1-4a7c-9333-81752231b3a6","service_delivery","2026-02-05T14:44:15.022520","","Before land rather bar it test.
Too move indeed research major factor. Close short test two own Democrat.
Fish newspaper box. Store safe all. Poor claim become great determine.","Offered","Export win","Direction good business close boy. Seat partner should too air have baby step. Image option newspaper thing population find learn.
Another figure case. Sister real decade. Staff pick wait food.","['']","['']","false","['']","","","","",""
"f87e3cc4-ee44-4f6d-aeb5-e2ca123d089b","Education and training : Support services","2026-04-26","Market entry overview","export","ec29246c-6066-4b1f-81a6-8cb7ec4e2081","","Face to Face","","2024-08-21T14:44:15.022655","http://somedomain.com/f87e3cc4-ee44-4f6d-aeb5-e2ca123d089b","interaction","2026-02-05T14:44:15.022655","","Anything main this mission morning. Center notice effect business eat great. Record you like expert generation evidence our.","","Trade - Enquiry","Might travel find sure article threat. War term shoulder option. Response both final son although contain.
Since production area another product well. Everything positive player its eat.","['']","['']","","['']","","","","",""
"94066d18-8ae7-4f92-928a-b6de4ab5b46a","Sports economy : Sports infrastructure","2025-12-06","UK expansion discussion","export","b2064523-8b0d-44b6-b490-e7e16c466bc3","","Video/Teleconf.","","2026-02-02T14:44:15.022762","http://somedomain.com/94066d18-8ae7-4f92-928a-b6de4ab5b46a","interaction","2026-02-05T14:44:15.022762","","Especially and show if. Financial future information film move. Some name trial themselves.
Growth plant the send usually fine race. Group interesting administration.","","Trade - Services","Whose catch very whose economy health.
This beat imagine just option interesting state level. Coach upon late imagine generation.","['Access to Finance']","['']","","['']","","","","","Advice"
"0c70d0f1-caa6-49ca-babb-c01913038a3b","Medical devices and equipment","2024-11-27","Market entry overview","export","b02ad3be-0fa8-4676-bc90-b2178a4ef603","","","","2024-04-12T14:44:15.022867","http://somedomain.com/0c70d0f1-caa6-49ca-babb-c01913038a3b","interaction","2026-02-05T14:44:15.022867","0.0","Happen sense coach window above. Of statement certain despite. Physical son girl throw including.","Offered","Trade - Enquiry","Price stand decision tend main degree.
Forward well operation huge capital although star environment. Technology activity impact take.","['']","['']","","['']","","","","","Referral"
"da9bb024-dcc4-4b66-81b5-6d2c9eafe66f","Technology and smart cities : Hardware : Sensors","2024-01-11","Stakeholder alignment meeting","export","f37f8330-3af3-4dc1-b16c-3a99cdf380f4","","Face to Face","","2024-12-02T14:44:15.022961","http://somedomain.com/da9bb024-dcc4-4b66-81b5-6d2c9eafe66f","interaction","2026-02-05T14:44:15.022961","","Able heart issue. Network policy you its computer situation. Article law into price with.
Door appear room section. And sell heavy five boy actually west.","","Events : UK based","Population box pattern trial. Left yourself development public research this. Day since kid nor cause reflect.","['']","['']","false","['']","","","","",""
"5d5e17fd-2a1e-4c8a-b6c9-807a3f2880ed","Technology and smart cities","2025-06-22","Due diligence questions","other","f0d56693-c7e8-4d61-a76c-70cf96daa534","","Face to Face","","2024-06-11T14:44:15.023066","http://somedomain.com/5d5e17fd-2a1e-4c8a-b6c9-807a3f2880ed","interaction","2026-02-05T14:44:15.023066","","Group painting too building. Draw hair land those blood almost sometimes.","","Trade - Enquiry","Plan nothing partner value increase. Draw law hundred society cup watch.
Recently material financial want option law pick more. Then care type clear cause.","['']","['']","","['']","","","","",""
"32af8507-1a21-4a40-9421-0fbff26eacb0","Technology and smart cities","2025-08-09","Follow-up on proposal","export","1935fe20-1de8-4ac5-8c7a-d9ae5be7b019","","","","2025-08-26T14:44:15.023160","http://somedomain.com/32af8507-1a21-4a40-9421-0fbff26eacb0","interaction","2026-02-05T14:44:15.023160","100","Food series detail deep live deal. Town day let. Compare six listen bad forget inside build. Standard mouth material about make national doctor.","","Trade - Enquiry","Serious base anything phone southern especially. Yard us everyone.
Successful product interesting travel. War data other heart worry. Home or character executive chance apply sport fire.","['']","['']","","['Comprehensive Something or other']","","","","","Contact - inbound"
"178428a2-86e9-4308-9a75-deebe29854f5","Agriculture, horticulture, fisheries and pets","2025-02-17","Market entry overview","other","609cde46-1314-4089-b2c7-d3fb683e16bf","","Telephone","5a3dd997-aa51-42a2-b6cd-fc98f200a37d","2026-01-10T14:44:15.023263","http://somedomain.com/178428a2-86e9-4308-9a75-deebe29854f5","interaction","2026-02-05T14:44:15.023263","","Administration score to mind price board. Force president tend majority. Your certain operation single capital ask car.
Send work despite party water. Production fly senior owner pay.","Completed","Trade - Enquiry","Term contain arrive score old.
I baby hard law condition. Use old election school ten.
Not same fly participant down. List traditional game. Recently film resource network health grow.","['']","['']","","['']","","","","",""
"d39b7f30-a4fc-499e-b46e-930749ae6abe","Automotive","2026-11-11","Intro call and next steps","other","812862d4-efaa-4f21-8203-139cf7f7c92e","","","","2025-05-27T14:44:15.023393","http://somedomain.com/d39b7f30-a4fc-499e-b46e-930749ae6abe","interaction","2026-02-05T14:44:15.023393","","Sport serve protect cold floor deep example. State appear either truth thus.
White long tend real with product training catch.
Night cost trade water be. Hit mind yet bed baby determine.","","DBT export service or funding : Significant assistance","Describe brother best law focus effort simple drop. Not matter world painting both police individual.
Cultural feeling chair happen everything thing difficult.","['']","['']","","['']","","","","",""
"b2fcfaf5-6f78-466e-adf1-7d7c491622e5","Education and training : Educational technology","2024-11-18","Due diligence questions","other","df27f8a4-6341-4571-82a4-94732d23eca5","","","","2024-06-13T14:44:15.023498","http://somedomain.com/b2fcfaf5-6f78-466e-adf1-7d7c491622e5","interaction","2026-02-05T14:44:15.023498","","Red we current product growth no receive. What brother white why create college. Republican relationship list south.","","Trade - Services","Agreement light which concern. Film decide cultural realize human center mind.
Baby weight national section. Admit guy course charge stop. Task write agent its.","['']","['']","true","['']","","","","","Contact - inbound"
"33ce2f3b-9d13-49cd-b670-05d735cc8701","Technology and smart cities","2024-02-01","Market entry overview","other","1935fe20-1de8-4ac5-8c7a-d9ae5be7b019","","","","2025-08-25T14:44:15.023595","http://somedomain.com/33ce2f3b-9d13-49cd-b670-05d735cc8701","interaction","2026-02-05T14:44:15.023595","100","Eight something our heart field. Magazine health understand by name anything.","","Trade - Enquiry","Best so camera three forward happy audience. Forward eight daughter better dark.","['']","['']","true","['']","","","","",""
"ac11b17d-fd52-4ed1-a6c3-2e4b72bca82d","Creative industries : Performing arts","2025-12-12","Site visit planning","other","e27f6f7c-0ec0-4766-831b-c796f552a8be","","Email/Website","","2025-04-19T14:44:15.023677","http://somedomain.com/ac11b17d-fd52-4ed1-a6c3-2e4b72bca82d","interaction","2026-02-05T14:44:15.023677","","History trade bank movement exist best. Become cell song condition million couple body kind. Produce oil second brother easy they. Fire us Mr dog.
Defense on street. Drive take him talk day child.","","Trade - Enquiry","Rule health return fund. Yes become two significant million paper agency. Thank start commercial list. Lay purpose become door democratic among here various.","['']","['']","false","['']","","","","","Advice"
"14c2f4eb-5107-4f8c-9913-6f4b2353dd3c","Education and training : Educational technology","2025-06-18","Market entry overview","other","df27f8a4-6341-4571-82a4-94732d23eca5","","","","2024-07-09T14:44:15.023801","http://somedomain.com/14c2f4eb-5107-4f8c-9913-6f4b2353dd3c","interaction","2026-02-05T14:44:15.023801","","I black main expert father others after his. Project value traditional too can.
Begin detail ever simple store next. Box mean me black write.","","Trade - Enquiry","Accept professor board financial run lay hit.
Dark officer notice. Ability yes loss wall. Job at follow last. Provide treatment ask member.","['']","['']","false","['Comprehensive Something or other']","","","","","Referral"
"c3209d2d-4440-4888-a8d2-2548c31a9085","Education and training : Educational technology","2025-06-11","Quarterly check-in","other","14ec2485-0eb0-4e36-ab0c-690c67bea74d","","Video/Teleconf.","61db559b-b9d2-4414-81c0-e778dc6fc809","2024-06-06T14:44:15.023916","http://somedomain.com/c3209d2d-4440-4888-a8d2-2548c31a9085","service_delivery","2026-02-05T14:44:15.023916","100","Nearly task instead class food moment truth. Physical deep part raise might.
Dinner today be. Whose notice charge reveal over across usually road.","","Trade - Enquiry","Program front evening growth how design. Get coach between clear simple. Democrat figure collection young man professor sense quickly.","['']","['']","","['']","","","","",""
"854e975d-f1c6-44e8-a248-909ba69cba4e","Consumer and retail : Leisure and tourism","2026-09-17","Stakeholder alignment meeting","export","0fafddda-9958-4140-b1b9-bf65b7b962d9","","Face to Face","","2026-01-11T14:44:15.024007","http://somedomain.com/854e975d-f1c6-44e8-a248-909ba69cba4e","interaction","2026-02-05T14:44:15.024007","0.0","Person crime theory policy wrong adult occur environmental. Mr street final hundred responsibility read agent. Save fire least minute summer special tell across. Sell one manager opportunity.","","Trade - Services","Exist appear produce win discuss. Number last owner and. Lead pattern state condition.
Long audience consumer forward. Decision almost western play remember.","['']","['']","true","['']","","","","",""
